,year,location_type,cellphone_access,household_size,age_of_respondent,marital_status,education_level,job_type,country_Kenya,country_Rwanda,country_Tanzania,country_Uganda,gender_of_respondent_Female,gender_of_respondent_Male,relationship_with_head_Child,relationship_with_head_Head of Household,relationship_with_head_Other non-relatives,relationship_with_head_Other relative,relationship_with_head_Parent,relationship_with_head_Spouse
0,2,0,1,2,8,2,3,9,1,0,0,0,1,0,0,0,0,0,0,1
1,2,0,0,4,54,4,0,4,1,0,0,0,1,0,0,1,0,0,0,0
2,2,1,1,4,10,3,5,9,1,0,0,0,0,1,0,0,0,1,0,0
3,2,0,1,4,18,2,2,3,1,0,0,0,1,0,0,1,0,0,0,0
4,2,1,0,7,10,3,2,5,1,0,0,0,0,1,1,0,0,0,0,0
5,2,0,0,6,10,2,2,5,1,0,0,0,1,0,0,0,0,0,0,1
6,2,0,1,6,16,2,2,9,1,0,0,0,1,0,0,0,0,0,0,1
7,2,0,1,0,26,2,4,2,1,0,0,0,1,0,0,1,0,0,0,0
8,2,0,1,2,38,2,3,1,1,0,0,0,0,1,0,1,0,0,0,0
9,2,1,1,2,60,0,0,8,1,0,0,0,1,0,0,1,0,0,0,0
10,2,0,1,4,24,2,3,1,1,0,0,0,1,0,0,1,0,0,0,0
11,2,0,1,2,53,2,3,7,1,0,0,0,0,1,0,1,0,0,0,0
12,2,0,0,5,48,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0
13,2,0,0,7,15,2,2,9,1,0,0,0,1,0,0,0,0,0,0,1
14,2,1,1,3,10,2,2,5,1,0,0,0,0,1,0,1,0,0,0,0
15,2,0,1,6,22,2,2,5,1,0,0,0,0,1,0,1,0,0,0,0
16,2,1,1,0,31,2,3,9,1,0,0,0,1,0,0,1,0,0,0,0
17,2,0,1,5,11,2,3,9,1,0,0,0,1,0,0,1,0,0,0,0
18,2,1,1,0,32,3,5,3,1,0,0,0,1,0,0,1,0,0,0,0
19,2,0,0,3,9,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1
20,2,0,1,3,10,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0
21,2,1,1,0,16,3,5,9,1,0,0,0,0,1,0,1,0,0,0,0
22,2,1,1,3,18,2,3,9,1,0,0,0,1,0,0,0,0,0,0,1
23,2,0,1,2,5,2,3,5,1,0,0,0,1,0,0,0,0,0,0,1
24,2,1,0,6,2,3,3,8,1,0,0,0,0,1,0,0,0,1,0,0
25,2,0,1,4,6,3,3,8,1,0,0,0,1,0,1,0,0,0,0,0
26,2,0,0,7,10,2,2,9,1,0,0,0,0,1,1,0,0,0,0,0
27,2,1,1,0,15,3,2,5,1,0,0,0,1,0,0,1,0,0,0,0
28,2,0,1,3,10,2,2,3,1,0,0,0,0,1,0,1,0,0,0,0
29,2,0,0,6,42,4,0,8,1,0,0,0,1,0,0,1,0,0,0,0
30,2,1,1,4,39,2,3,5,1,0,0,0,0,1,0,1,0,0,0,0
31,2,1,1,4,22,2,3,9,1,0,0,0,0,1,0,1,0,0,0,0
32,2,1,1,3,46,2,2,2,1,0,0,0,1,0,0,0,0,0,0,1
33,2,0,1,2,13,2,2,8,1,0,0,0,1,0,0,1,0,0,0,0
34,2,0,1,9,26,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1
35,2,0,1,4,32,4,2,5,1,0,0,0,1,0,0,1,0,0,0,0
36,2,0,1,3,19,2,2,5,1,0,0,0,0,1,0,1,0,0,0,0
37,2,0,1,4,29,2,2,5,1,0,0,0,0,1,0,1,0,0,0,0
38,2,0,1,7,29,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0
39,2,0,0,2,54,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0
40,2,0,1,5,51,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0
41,2,1,1,3,3,3,3,8,1,0,0,0,1,0,0,0,0,1,0,0
42,2,0,1,2,64,4,2,8,1,0,0,0,0,1,0,1,0,0,0,0
43,2,0,1,1,50,2,3,1,1,0,0,0,0,1,0,1,0,0,0,0
44,2,1,0,0,15,3,2,3,1,0,0,0,0,1,0,1,0,0,0,0
45,2,0,1,0,34,3,2,9,1,0,0,0,1,0,0,1,0,0,0,0
46,2,0,0,2,13,3,2,5,1,0,0,0,1,0,0,1,0,0,0,0
47,2,0,1,3,17,2,5,1,1,0,0,0,0,1,0,1,0,0,0,0
48,2,1,1,3,12,2,5,9,1,0,0,0,1,0,1,0,0,0,0,0
49,2,1,1,2,12,3,3,1,1,0,0,0,0,1,1,0,0,0,0,0
50,2,1,1,2,10,0,3,5,1,0,0,0,1,0,0,1,0,0,0,0
51,2,1,1,1,35,3,3,9,1,0,0,0,1,0,0,1,0,0,0,0
52,2,1,0,4,0,3,2,8,1,0,0,0,1,0,0,0,0,1,0,0
53,2,0,1,1,1,3,3,8,1,0,0,0,0,1,0,0,0,1,0,0
54,2,1,1,0,6,3,3,9,1,0,0,0,1,0,0,1,0,0,0,0
55,2,0,1,2,50,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0
56,2,0,1,5,34,2,5,2,1,0,0,0,0,1,0,1,0,0,0,0
57,2,1,1,3,17,2,2,5,1,0,0,0,0,1,0,1,0,0,0,0
58,2,0,1,10,5,3,1,5,1,0,0,0,0,1,1,0,0,0,0,0
59,2,0,1,4,14,2,3,5,1,0,0,0,1,0,0,0,0,0,0,1
60,2,0,1,7,14,0,2,9,1,0,0,0,1,0,0,1,0,0,0,0
61,2,0,0,0,51,4,0,5,1,0,0,0,1,0,0,1,0,0,0,0
62,2,0,1,2,34,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1
63,2,1,1,0,9,3,4,8,1,0,0,0,1,0,0,1,0,0,0,0
64,2,0,1,5,9,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0
65,2,1,0,2,14,2,2,5,1,0,0,0,1,0,0,0,0,0,0,1
66,2,0,0,0,21,0,2,5,1,0,0,0,0,1,0,1,0,0,0,0
67,2,1,1,0,14,2,2,9,1,0,0,0,1,0,0,1,0,0,0,0
68,2,1,0,4,12,3,2,5,1,0,0,0,1,0,1,0,0,0,0,0
69,2,1,1,0,14,3,3,3,1,0,0,0,0,1,0,1,0,0,0,0
70,2,0,1,1,43,3,5,5,1,0,0,0,1,0,0,1,0,0,0,0
71,2,1,1,4,13,2,3,5,1,0,0,0,0,1,0,1,0,0,0,0
72,2,0,0,3,15,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1
73,2,1,1,2,11,2,3,8,1,0,0,0,1,0,0,0,0,0,0,1
74,2,0,1,3,39,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1
75,2,1,1,3,18,2,2,5,1,0,0,0,0,1,0,1,0,0,0,0
76,2,1,0,3,1,3,3,8,1,0,0,0,0,1,0,0,0,1,0,0
77,2,1,0,2,5,2,5,5,1,0,0,0,1,0,0,0,0,0,0,1
78,2,1,1,4,21,0,3,5,1,0,0,0,1,0,0,1,0,0,0,0
79,2,0,0,3,26,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1
80,2,0,0,7,24,2,2,8,1,0,0,0,1,0,0,0,0,0,0,1
81,2,0,0,3,1,3,3,8,1,0,0,0,0,1,1,0,0,0,0,0
82,2,1,0,3,49,2,0,5,1,0,0,0,1,0,0,0,0,0,0,1
83,2,0,1,6,2,3,3,8,1,0,0,0,1,0,1,0,0,0,0,0
84,2,1,1,2,18,3,5,5,1,0,0,0,1,0,0,1,0,0,0,0
85,2,0,1,3,30,2,3,1,1,0,0,0,0,1,0,1,0,0,0,0
86,2,1,1,0,38,3,2,5,1,0,0,0,0,1,0,1,0,0,0,0
87,2,1,1,3,11,2,2,5,1,0,0,0,1,0,0,1,0,0,0,0
88,2,0,1,3,5,3,2,5,1,0,0,0,1,0,1,0,0,0,0,0
89,2,0,0,3,48,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0
90,2,0,1,2,40,2,2,8,1,0,0,0,1,0,0,0,0,0,0,1
91,2,0,0,5,24,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0
92,2,1,1,9,5,3,4,8,1,0,0,0,1,0,0,0,0,0,1,0
93,2,0,1,8,2,3,3,8,1,0,0,0,0,1,0,0,0,1,0,0
94,2,0,1,0,26,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0
95,2,0,0,1,6,3,2,8,1,0,0,0,0,1,1,0,0,0,0,0
96,2,0,1,7,36,2,2,5,1,0,0,0,1,0,0,0,0,0,0,1
97,2,1,1,5,19,2,2,5,1,0,0,0,1,0,0,0,0,0,0,1
98,2,0,1,1,48,4,2,8,1,0,0,0,1,0,0,1,0,0,0,0
99,2,1,1,4,26,2,3,1,1,0,0,0,0,1,0,1,0,0,0,0
100,2,1,1,9,7,0,2,3,1,0,0,0,1,0,0,0,0,1,0,0
