TransactionId,FraudResult
TransactionId_50600,1
TransactionId_95109,1
TransactionId_47357,0
TransactionId_28185,1
TransactionId_22140,1
TransactionId_134338,1
TransactionId_109096,0
TransactionId_14249,1
TransactionId_69896,0
TransactionId_91468,1
TransactionId_18862,1
TransactionId_29342,1
TransactionId_116873,0
TransactionId_81197,1
TransactionId_83120,1
TransactionId_40882,1
TransactionId_89297,0
TransactionId_112716,1
TransactionId_61794,1
TransactionId_124957,0
TransactionId_105927,1
TransactionId_23455,1
TransactionId_44325,0
TransactionId_121440,1
TransactionId_72401,1
TransactionId_122323,1
TransactionId_100360,1
TransactionId_121720,1
TransactionId_121119,1
TransactionId_39420,1
TransactionId_129168,0
TransactionId_80103,1
TransactionId_70335,0
TransactionId_62038,1
TransactionId_119958,1
TransactionId_70526,1
TransactionId_40395,1
TransactionId_78595,0
TransactionId_102888,1
TransactionId_132575,1
TransactionId_991,1
TransactionId_132027,1
TransactionId_2972,1
TransactionId_138822,1
TransactionId_109088,0
TransactionId_129468,1
TransactionId_88563,1
TransactionId_81355,0
TransactionId_76124,1
TransactionId_44532,1
TransactionId_81705,1
TransactionId_103079,0
TransactionId_58855,1
TransactionId_135949,1
TransactionId_138525,1
TransactionId_35887,1
TransactionId_129735,1
TransactionId_57922,1
TransactionId_8566,1
TransactionId_78701,0
TransactionId_71141,1
TransactionId_9127,1
TransactionId_92018,1
TransactionId_96624,0
TransactionId_35664,1
TransactionId_102953,1
TransactionId_99746,1
TransactionId_131385,1
TransactionId_6271,1
TransactionId_21834,1
TransactionId_59315,1
TransactionId_25732,0
TransactionId_133382,1
TransactionId_55046,1
TransactionId_82222,1
TransactionId_135142,1
TransactionId_66270,0
TransactionId_64712,1
TransactionId_98932,1
TransactionId_122147,1
TransactionId_45920,1
TransactionId_115838,1
TransactionId_71045,1
TransactionId_68387,1
TransactionId_82700,1
TransactionId_33027,0
TransactionId_9378,1
TransactionId_13661,1
TransactionId_83505,1
TransactionId_126966,1
TransactionId_63777,1
TransactionId_36956,0
TransactionId_108834,1
TransactionId_89292,0
TransactionId_98507,1
TransactionId_60362,0
TransactionId_59111,1
TransactionId_4722,0
TransactionId_29893,1
TransactionId_103059,1
TransactionId_63555,1
TransactionId_25898,1
TransactionId_96948,1
TransactionId_90690,1
TransactionId_23625,1
TransactionId_20059,0
TransactionId_22221,1
TransactionId_18281,1
TransactionId_18268,1
TransactionId_103226,0
TransactionId_100442,1
TransactionId_32651,0
TransactionId_82785,1
TransactionId_85564,1
TransactionId_29019,1
TransactionId_30611,0
TransactionId_35814,1
TransactionId_137440,0
TransactionId_122995,1
TransactionId_103962,1
TransactionId_105990,1
TransactionId_105088,1
TransactionId_33792,1
TransactionId_95923,1
TransactionId_114981,1
TransactionId_100174,1
TransactionId_123960,0
TransactionId_10420,1
TransactionId_51526,1
TransactionId_127443,0
TransactionId_22283,1
TransactionId_113727,0
TransactionId_45302,1
TransactionId_3846,1
TransactionId_30250,1
TransactionId_20522,1
TransactionId_62032,1
TransactionId_34235,1
TransactionId_48014,1
TransactionId_25496,0
TransactionId_2371,1
TransactionId_90713,1
TransactionId_50894,1
TransactionId_21967,0
TransactionId_63103,1
TransactionId_98625,1
TransactionId_76886,1
TransactionId_13307,1
TransactionId_67793,1
TransactionId_55407,1
TransactionId_37366,1
TransactionId_87164,0
TransactionId_83606,1
TransactionId_110180,1
TransactionId_130256,1
TransactionId_8106,1
TransactionId_70582,1
TransactionId_99743,1
TransactionId_52273,1
TransactionId_134302,1
TransactionId_92615,1
TransactionId_12657,0
TransactionId_50717,1
TransactionId_140079,1
TransactionId_10668,0
TransactionId_8023,1
TransactionId_94471,1
TransactionId_85903,1
TransactionId_140226,1
TransactionId_22853,1
TransactionId_74757,1
TransactionId_125128,1
TransactionId_6066,1
TransactionId_74290,1
TransactionId_99172,1
TransactionId_54384,1
TransactionId_33601,1
TransactionId_22049,1
TransactionId_33395,1
TransactionId_121387,1
TransactionId_45879,0
TransactionId_123889,1
TransactionId_59526,1
TransactionId_131602,1
TransactionId_98042,1
TransactionId_65256,1
TransactionId_104612,0
TransactionId_27395,1
TransactionId_119206,1
TransactionId_54550,1
TransactionId_85897,1
TransactionId_58375,0
TransactionId_74032,1
TransactionId_28315,1
TransactionId_9781,1
TransactionId_79146,0
TransactionId_26774,1
TransactionId_110178,1
TransactionId_118665,1
TransactionId_83056,1
TransactionId_123637,0
TransactionId_135778,1
TransactionId_128583,1
TransactionId_78505,1
TransactionId_79598,0
TransactionId_121922,1
TransactionId_91757,1
TransactionId_49559,0
TransactionId_93971,1
TransactionId_45174,1
TransactionId_135259,0
TransactionId_85175,1
TransactionId_124655,0
TransactionId_124212,1
TransactionId_52631,0
TransactionId_139973,1
TransactionId_21635,1
TransactionId_22192,1
TransactionId_136901,0
TransactionId_22889,0
TransactionId_10047,1
TransactionId_61443,1
TransactionId_31887,1
TransactionId_15667,1
TransactionId_134721,1
TransactionId_25136,0
TransactionId_25061,1
TransactionId_27832,0
TransactionId_95709,1
TransactionId_88017,0
TransactionId_108233,1
TransactionId_115179,0
TransactionId_117091,1
TransactionId_30721,0
TransactionId_93648,1
TransactionId_7518,1
TransactionId_42395,1
TransactionId_2293,1
TransactionId_56119,0
TransactionId_110135,1
TransactionId_17218,1
TransactionId_11686,1
TransactionId_105547,1
TransactionId_100041,1
TransactionId_58643,1
TransactionId_69054,0
TransactionId_121338,1
TransactionId_5596,1
TransactionId_30542,1
TransactionId_68034,1
TransactionId_91340,1
TransactionId_119731,1
TransactionId_54539,1
TransactionId_19297,1
TransactionId_61198,1
TransactionId_35402,0
TransactionId_134434,1
TransactionId_83907,1
TransactionId_22701,1
TransactionId_82297,0
TransactionId_124790,1
TransactionId_133576,0
TransactionId_70558,1
TransactionId_124627,0
TransactionId_111815,1
TransactionId_5778,0
TransactionId_28894,1
TransactionId_110767,1
TransactionId_58250,0
TransactionId_44851,1
TransactionId_38942,1
TransactionId_105455,1
TransactionId_96255,1
TransactionId_95383,1
TransactionId_16017,0
TransactionId_16875,1
TransactionId_22998,1
TransactionId_103917,0
TransactionId_113264,1
TransactionId_121485,1
TransactionId_79516,1
TransactionId_112429,1
TransactionId_100182,1
TransactionId_44775,1
TransactionId_25256,1
TransactionId_75434,1
TransactionId_8090,1
TransactionId_108655,1
TransactionId_71502,1
TransactionId_95198,1
TransactionId_26274,1
TransactionId_101104,1
TransactionId_6298,1
TransactionId_59001,1
TransactionId_15930,1
TransactionId_52833,0
TransactionId_100752,0
TransactionId_44356,1
TransactionId_43193,1
TransactionId_82556,1
TransactionId_16332,1
TransactionId_68799,1
TransactionId_111325,1
TransactionId_83948,1
TransactionId_25231,1
TransactionId_46274,1
TransactionId_5195,1
TransactionId_129670,1
TransactionId_36380,1
TransactionId_87745,1
TransactionId_103234,0
TransactionId_40812,1
TransactionId_113011,1
TransactionId_82101,1
TransactionId_86603,1
TransactionId_63018,1
TransactionId_57617,1
TransactionId_37899,0
TransactionId_43971,1
TransactionId_18184,1
TransactionId_100428,1
TransactionId_5369,1
TransactionId_90439,1
TransactionId_99894,1
TransactionId_59114,1
TransactionId_36185,1
TransactionId_70295,1
TransactionId_98831,1
TransactionId_18001,1
TransactionId_140530,0
TransactionId_38835,1
TransactionId_111983,1
TransactionId_73741,1
TransactionId_20177,1
TransactionId_138004,0
TransactionId_34607,0
TransactionId_519,1
TransactionId_7225,1
TransactionId_13933,0
TransactionId_120157,0
TransactionId_120624,1
TransactionId_138257,1
TransactionId_110146,1
TransactionId_97714,0
TransactionId_16053,1
TransactionId_117729,1
TransactionId_94560,1
TransactionId_87926,1
TransactionId_118225,0
TransactionId_6921,1
TransactionId_39479,0
TransactionId_54237,1
TransactionId_90110,0
TransactionId_26936,1
TransactionId_56254,0
TransactionId_3023,1
TransactionId_81454,1
TransactionId_61431,0
TransactionId_113050,1
TransactionId_30318,1
TransactionId_105686,1
TransactionId_84798,1
TransactionId_123058,1
TransactionId_137904,0
TransactionId_102526,1
TransactionId_26886,1
TransactionId_48210,1
TransactionId_123120,1
TransactionId_123113,1
TransactionId_10311,1
TransactionId_31455,1
TransactionId_102438,1
TransactionId_133732,1
TransactionId_139583,1
TransactionId_133714,1
TransactionId_30107,1
TransactionId_4178,1
TransactionId_85679,1
TransactionId_39039,1
TransactionId_20443,1
TransactionId_58614,1
TransactionId_131057,1
TransactionId_97768,1
TransactionId_77789,1
TransactionId_24616,1
TransactionId_92891,1
TransactionId_100981,1
TransactionId_118704,0
TransactionId_65971,1
TransactionId_80849,1
TransactionId_94821,1
TransactionId_20512,0
TransactionId_124376,1
TransactionId_4338,1
TransactionId_91874,1
TransactionId_137197,1
TransactionId_69608,0
TransactionId_138548,1
TransactionId_99947,1
TransactionId_118799,1
TransactionId_94925,1
TransactionId_24976,0
TransactionId_17242,1
TransactionId_122832,1
TransactionId_44676,0
TransactionId_104395,1
TransactionId_28106,1
TransactionId_95473,1
TransactionId_34227,1
TransactionId_19919,0
TransactionId_132138,1
TransactionId_25649,1
TransactionId_22914,1
TransactionId_59328,1
TransactionId_18629,1
TransactionId_42898,1
TransactionId_41485,1
TransactionId_99849,1
TransactionId_14523,1
TransactionId_78615,1
TransactionId_63274,1
TransactionId_37492,1
TransactionId_67255,1
TransactionId_77318,1
TransactionId_116302,1
TransactionId_136100,0
TransactionId_39139,1
TransactionId_127280,1
TransactionId_14836,0
TransactionId_36531,1
TransactionId_78156,1
TransactionId_20259,1
TransactionId_15228,0
TransactionId_103610,0
TransactionId_57471,1
TransactionId_39560,0
TransactionId_98884,1
TransactionId_73576,1
TransactionId_87575,0
TransactionId_133553,1
TransactionId_86978,1
TransactionId_119227,1
TransactionId_129483,0
TransactionId_119498,1
TransactionId_43352,1
TransactionId_36996,1
TransactionId_41289,1
TransactionId_61931,1
TransactionId_136033,1
TransactionId_58154,1
TransactionId_128674,1
TransactionId_3193,1
TransactionId_54558,1
TransactionId_139095,1
TransactionId_80622,1
TransactionId_18696,1
TransactionId_35533,1
TransactionId_57929,1
TransactionId_99801,0
TransactionId_112025,1
TransactionId_116948,1
TransactionId_56663,1
TransactionId_129063,1
TransactionId_63106,0
TransactionId_107061,1
TransactionId_16294,1
TransactionId_56143,1
TransactionId_30008,1
TransactionId_6879,1
TransactionId_133082,1
TransactionId_5003,1
TransactionId_77088,0
TransactionId_3736,1
TransactionId_37155,1
TransactionId_82045,1
TransactionId_118883,1
TransactionId_86172,1
TransactionId_49043,0
TransactionId_122611,1
TransactionId_58752,1
TransactionId_8123,1
TransactionId_100112,0
TransactionId_104205,1
TransactionId_56466,0
TransactionId_99620,1
TransactionId_17953,1
TransactionId_90094,0
TransactionId_5292,0
TransactionId_89351,1
TransactionId_10082,1
TransactionId_59710,1
TransactionId_11724,0
TransactionId_76051,1
TransactionId_107139,1
TransactionId_19567,1
TransactionId_111901,1
TransactionId_17375,1
TransactionId_88262,1
TransactionId_19686,1
TransactionId_85593,1
TransactionId_34510,1
TransactionId_114690,1
TransactionId_95888,1
TransactionId_16655,1
TransactionId_3941,1
TransactionId_40338,1
TransactionId_14572,1
TransactionId_102003,0
TransactionId_24252,1
TransactionId_30466,1
TransactionId_35364,1
TransactionId_58429,1
TransactionId_94411,1
TransactionId_75821,1
TransactionId_66367,0
TransactionId_72724,1
TransactionId_17134,1
TransactionId_119876,1
TransactionId_133361,0
TransactionId_6523,1
TransactionId_14176,0
TransactionId_125142,1
TransactionId_119174,1
TransactionId_55663,0
TransactionId_60680,1
TransactionId_112020,1
TransactionId_121645,1
TransactionId_56544,1
TransactionId_2968,0
TransactionId_122482,1
TransactionId_94759,1
TransactionId_127758,1
TransactionId_28442,1
TransactionId_132639,1
TransactionId_135045,1
TransactionId_47529,0
TransactionId_103366,1
TransactionId_56768,1
TransactionId_108093,1
TransactionId_56397,0
TransactionId_32151,1
TransactionId_67898,0
TransactionId_133816,1
TransactionId_95775,1
TransactionId_136824,0
TransactionId_62944,1
TransactionId_139659,1
TransactionId_763,1
TransactionId_61182,1
TransactionId_50318,1
TransactionId_71935,1
TransactionId_111258,1
TransactionId_40131,1
TransactionId_94490,1
TransactionId_137787,1
TransactionId_1280,1
TransactionId_133242,1
TransactionId_132157,0
TransactionId_83559,1
TransactionId_94689,1
TransactionId_90728,1
TransactionId_56696,1
TransactionId_24053,1
TransactionId_99991,0
TransactionId_16889,1
TransactionId_37552,1
TransactionId_138758,1
TransactionId_72203,1
TransactionId_30036,1
TransactionId_51662,1
TransactionId_74841,0
TransactionId_43506,1
TransactionId_92881,1
TransactionId_107548,1
TransactionId_16864,1
TransactionId_96914,1
TransactionId_20289,1
TransactionId_78445,0
TransactionId_44183,1
TransactionId_93211,1
TransactionId_34191,1
TransactionId_53038,1
TransactionId_54054,1
TransactionId_69116,1
TransactionId_29481,1
TransactionId_50703,1
TransactionId_40829,1
TransactionId_35724,1
TransactionId_130792,1
TransactionId_45632,1
TransactionId_38212,1
TransactionId_17039,1
TransactionId_471,1
TransactionId_103045,1
TransactionId_133108,1
TransactionId_131235,1
TransactionId_21819,1
TransactionId_129328,1
TransactionId_88708,1
TransactionId_82037,1
TransactionId_127744,1
TransactionId_55703,1
TransactionId_87577,1
TransactionId_28552,1
TransactionId_19645,1
TransactionId_11309,1
TransactionId_4347,1
TransactionId_139542,1
TransactionId_11113,1
TransactionId_125285,1
TransactionId_30545,1
TransactionId_45750,1
TransactionId_116656,1
TransactionId_84277,1
TransactionId_7772,1
TransactionId_61350,1
TransactionId_78670,1
TransactionId_9678,1
TransactionId_43649,1
TransactionId_58648,1
TransactionId_42264,1
TransactionId_111038,1
TransactionId_441,1
TransactionId_2056,1
TransactionId_90616,1
TransactionId_133865,1
TransactionId_34580,1
TransactionId_84689,1
TransactionId_123453,1
TransactionId_14218,1
TransactionId_45841,1
TransactionId_14005,1
TransactionId_50120,1
TransactionId_53708,1
TransactionId_13179,0
TransactionId_61935,1
TransactionId_120509,1
